quarter_year,year,quarter, deal value ($B) ,vc_irr,fundraising_activity,dry_powder
2015-Q1,2015,Q1,5.229359058,0.18,45.7,84.66
2015-Q2,2015,Q2,7.623193943,0.2,45.7,84.66
2015-Q3,2015,Q3,7.339538532,0.15,45.7,84.66
2015-Q4,2015,Q4,6.333488432,0.11,45.7,84.66
2016-Q1,2016,Q1,6.852405474,0.03,50.08,99.15
2016-Q2,2016,Q2,7.369265142,-0.02,50.08,99.15
2016-Q3,2016,Q3,5.885506115,-0.04,50.08,99.15
2016-Q4,2016,Q4,6.236585903,-0.01,50.08,99.15
2017-Q1,2017,Q1,6.785671139,0.05,49.69,109.97
2017-Q2,2017,Q2,7.039690272,0.07,49.69,109.97
2017-Q3,2017,Q3,7.028787368,0.12,49.69,109.97
2017-Q4,2017,Q4,9.611895644,0.09,49.69,109.97
2018-Q1,2018,Q1,10.67179811,0.15,77.91,131.76
2018-Q2,2018,Q2,10.96636081,0.2,77.91,131.76
2018-Q3,2018,Q3,9.909112132,0.22,77.91,131.76
2018-Q4,2018,Q4,10.51243549,0.23,77.91,131.76
2019-Q1,2019,Q1,11.61851522,0.22,69.52,142.31
2019-Q2,2019,Q2,11.22173183,0.19,69.52,142.31
2019-Q3,2019,Q3,12.6325044,0.16,69.52,142.31
2019-Q4,2019,Q4,9.794690884,0.2,69.52,142.31
2020-Q1,2020,Q1,10.40088431,0.09,91.76,167.42
2020-Q2,2020,Q2,9.424665597,0.13,91.76,167.42
2020-Q3,2020,Q3,11.89089974,0.23,91.76,167.42
2020-Q4,2020,Q4,14.19066323,0.47,91.76,167.42
2021-Q1,2021,Q1,17.26635779,0.83,171.35,209.76
2021-Q2,2021,Q2,21.96643162,0.98,171.35,209.76
2021-Q3,2021,Q3,21.49290618,0.99,171.35,209.76
2021-Q4,2021,Q4,28.84586934,0.55,171.35,209.76
2022-Q1,2022,Q1,23.68624451,0.29,224.61,267.54
2022-Q2,2022,Q2,20.03837762,0.01,224.61,267.54
2022-Q3,2022,Q3,14.23934626,-0.08,224.61,267.54
2022-Q4,2022,Q4,12.04740133,-0.17,224.61,267.54
2023-Q1,2023,Q1,10.97930097,-0.16,103.46,297.74
2023-Q2,2023,Q2,11.39704295,-0.08,103.46,297.74
2023-Q3,2023,Q3,9.457854538,-0.08,103.46,297.74
2023-Q4,2023,Q4,8.557372077,-0.04,103.46,297.74
2024-Q1,2024,Q1,11.89025135,0,85.67,293.91
2024-Q2,2024,Q2,19.26807119,-0.01,85.67,293.91
2024-Q3,2024,Q3,12.31392962,0.03,85.67,293.91
2024-Q4,2024,Q4,13.24616014,0.04,85.67,293.91
2025-Q1,2025,Q1,12.84547592,0.03,45.73,311.25
2025-Q2,2025,Q2,15.03597387,,45.73,311.25
2025-Q3,2025,Q3,14.39168887,,45.73,311.25
